gene,S15.8147.A1-logfc,S15.10848.A-logfc
AADACL3,0.089496836,0.316791684
AADACL4,0.020188685,0.560790628
ABCA4,0.293483576,0.490411297
ABCB10,3.573864751,3.430171009
ABCD3,3.656188987,3.835917416
ABL2,3.415471135,4.128331794
ACADM,3.759092282,3.678578754
ACAP3,3.524294398,3.332132247
ACBD3,3.89990431,4.076063678
ACBD6,4.263744319,3.964689967
ACOT11,1.775698571,1.547035677
ACOT7,3.863548678,4.196855256
ACP6,1.790247617,1.070379319
ACTA1,0.112941533,0.322177217
ACTL8,0.186237359,0
ACTN2,0.419854818,0.432318098
ACTRT2,0,0
ADAM30,0.174691321,0.170331379
ADAMTS4,3.403063805,3.141595251
ADAMTSL4,3.080362572,3.390111305
ADAR,6.298203548,6.117860858
ADC,2.018170198,2.17003086
ADCK3,3.599161067,2.831886949
ADCY10,0.224438431,0.7226885
ADIPOR1,4.833823934,5.480582148
ADORA1,0.150349033,0.715093952
ADORA3,0.659853133,0.958745909
ADPRHL2,3.725735646,4.155652441
ADSS,4.583485242,4.543298426
AGBL4,0.412977961,0.061149178
AGL,3.484032727,3.086944223
AGMAT,2.976956419,3.068804983
AGRN,2.968504161,2.939236559
AGT,0,0
AGTRAP,3.911491503,4.567449588
AHCTF1,3.834121807,3.268263515
AHCYL1,4.45864937,4.876225124
AHDC1,2.156867059,2.210548454
AIDA,4.645033623,4.742704168
AIM1L,0.820522606,1.314728973
AIM2,3.696787205,3.65870276
AJAP1,0.662282276,0.19634978
AK2,4.553761151,4.343014141
AK4,2.669687712,2.854486584
AK5,0.85898873,1.159369624
AKIRIN1,5.115223286,4.480323549
AKNAD1,0.256435269,0.080573797
AKR1A1,6.018122646,6.149513651
AKR7A2,3.455959594,3.51807471
AKR7A3,1.365497811,1.55295078
AKT3,4.325879139,4.236018543
ALDH4A1,1.988510538,2.177811853
ALDH9A1,4.831723976,5.215244125
ALG14,2.623431324,2.470243244
ALG6,3.341740301,2.43212451
ALPL,0.822815054,1.327729817
ALX3,1.862225595,1.18853535
AMIGO1,2.177363086,0.146156913
AMPD1,0.314513663,0.439875418
AMPD2,3.657087684,3.001975184
AMY1A,2.12403849,2.388149543
AMY1B,2.231192418,2.499071201
AMY1C,2.217779445,2.486403406
AMY2A,2.807791039,2.660810417
AMY2B,4.223209435,4.205099856
ANGEL2,3.926990904,3.78349674
ANGPTL1,1.453565109,2.354311621
ANGPTL3,1.005136788,0.715838124
ANGPTL7,2.427832154,1.006558274
ANKRD13C,3.218925357,3.104687548
ANKRD34A,0.95075668,1.023718823
ANKRD35,0.69895621,1.469274384
ANKRD45,0.159427736,0.189172606
ANKRD65,1.106028782,1.092325481
ANP32E,5.27470248,4.477403217
ANXA9,1.026686198,1.718612892
AP4B1,3.997632774,3.332859486
APCS,0.096022095,0
APH1A,5.333533721,5.64022209
APITD1,1.725500998,2.660094838
APOA1BP,3.955818814,3.972043616
APOA2,0.451918763,0.695043554
APOBEC4,1.895401185,1.362291946
AQP10,0.099584664,0.503291908
ARF1,6.517325685,6.870627969
ARHGAP29,2.065791263,2.907597408
ARHGAP30,5.860161057,5.171151604
ARHGEF10L,3.862838787,4.324344991
ARHGEF11,3.658091629,4.028457171
ARHGEF16,0.338213421,0.881933482
ARHGEF19,1.622702743,1.583249982
ARHGEF2,5.249099822,4.638669349
ARID1A,4.755940162,4.246063194
ARID4B,4.71794022,4.189986042
ARL8A,3.481962719,4.18836584
ARNT,4.222215791,4.233050615
ARPC5,7.099663503,6.905324942
ARTN,0.269635454,0.680823995
ARV1,3.529901181,2.785641718
ASAP3,2.421175183,3.134684781
ASCL5,0.957377163,0
ASH1L,4.946535837,4.19254983
ASPM,4.632304809,4.00087434
ASTN1,0.044886633,0.036285512
ATAD3A,4.81271578,3.772750134
ATAD3B,5.071493908,4.023123411
ATAD3C,2.977230062,1.479585952
ATF3,2.962950814,4.218354004
ATF6,3.896859428,4.0280871
ATG4C,2.814960506,2.480585161
ATP13A2,3.305830549,3.083164903
ATP1A1,6.183745205,6.404784132
ATP1A2,0.174906474,1.255920713
ATP1A4,0.257428777,0.388550601
ATP1B1,3.861174294,4.211870339
ATP2B4,6.001417044,5.342956402
ATP5F1,5.729015177,5.612665947
ATP6V0B,5.877214387,6.010518161
ATP6V1G3,0.385422415,0
ATP8B2,4.510053971,3.619660877
ATPAF1,3.766457492,3.295031308
ATPAF1-AS1,1.135005636,0.72546921
ATPIF1,4.445673957,4.108736858
ATXN7L2,1.452158875,1.093836865
AUNIP,1.803880356,1.422973273
AURKAIP1,3.877304797,4.262442346
AVPR1B,0,0.508548447
AXDND1,0.14092028,0.407634741
B3GALNT2,3.615404654,3.533865486
B3GALT2,2.497464664,1.716887181
B3GALT6,3.256673834,3.096404866
B4GALT2,2.085538856,3.264824703
B4GALT3,3.357745894,2.551282523
BAI2,0.290704875,0.305900333
BARHL2,0.11858848,0
BATF3,3.651048508,2.789879303
BCAN,0.241341425,0.506698871
BCAR3,2.287469328,2.088934296
BCAS2,4.184084919,4.29126139
BCL10,3.200599053,3.4627128
BCL2L15,0.610746839,0.380114916
BCL9,1.56922006,1.813856014
BEND5,1.813680136,0.759725286
BEST4,0.805294925,0.991274976
BGLAP,1.983356191,1.017773151
BLZF1,2.502780258,3.127434674
BMP8A,2.17623764,2.299222774
BMP8B,1.356118207,1.182562457
BNIPL,1.468371968,2.819569175
BOLA1,2.766685925,3.034143
BPNT1,3.373813945,3.282657759
BRDT,0.305391538,0.32021397
BROX,4.187346468,4.382309308
BSDC1,4.234985383,4.011253081
BSND,0,0
BTBD19,2.34588468,2.425380384
BTBD8,1.707028833,1.926190439
BTF3L4,3.672786859,3.053144571
BTG2,5.562044152,4.652449178
C1orf100,0.46117555,0
C1orf101,0.88786915,1.011196332
C1orf105,0.630362803,0.34217206
C1orf106,1.395710761,2.585416569
C1orf109,3.009932041,2.721498812
C1orf110,0.411572702,0.144061803
C1orf111,0.29265567,0.39937907
C1orf112,3.299777775,3.083382004
C1orf114,0.679076545,0.136438198
C1orf115,0.995072181,1.963734367
C1orf116,0.874183781,2.327340985
C1orf122,2.663750202,3.208055707
C1orf123,4.144413135,3.863474608
C1orf127,0.205797576,0.345306384
C1orf129,0.471391491,0.309428326
C1orf131,3.388155436,3.094105266
C1orf141,0.214459842,0
C1orf146,0.784301339,0.085861072
C1orf151-NBL1,4.27147171,5.288788301
C1orf158,0.173794003,0.435223638
C1orf159,1.9002522,1.651801986
C1orf162,3.932144676,4.361469708
C1orf168,0.197716138,0.282253674
C1orf172,0.571313627,1.140992741
C1orf173,0.184564384,0.0756494
C1orf174,4.191050035,3.714344897
C1orf177,0.228111461,0.005940632
C1orf185,0.189285973,0.186299025
C1orf186,1.411406566,0.814709022
C1orf189,0.483739073,0.356349025
C1orf192,2.598911254,2.19988319
C1orf194,1.187486985,2.115250735
C1orf198,3.167141223,3.564039174
C1orf204,4.301042618,4.328576321
C1orf21,1.965971885,2.646004288
C1orf210,0.326691828,0.455349604
C1orf212,3.400095697,3.141205581
C1orf216,4.06766322,3.234483764
C1orf226,0.705469281,0.481991253
C1orf227,0.652420756,0.607590997
C1orf228,1.969852376,0.657840931
C1orf229,0,0.115056708
C1orf233,0.997270053,1.38689337
C1orf27,3.402988282,3.237281723
C1orf31,4.044058343,3.637270486
C1orf35,2.715238876,2.625571602
C1orf43,5.710200046,5.626854664
C1orf50,3.378055055,2.338468327
C1orf51,0.745777023,1.994777817
C1orf53,0,0
C1orf54,5.239579692,5.734377391
C1orf56,4.118700452,3.716254387
C1orf61,0.265858044,0.559375002
C1orf63,5.776730494,5.141865542
C1orf64,0,0
C1orf65,0,0
C1orf68,2.480542616,3.420735415
C1orf74,2.056464901,2.558483138
C1orf85,3.384776409,3.715639954
C1orf86,1.676031665,1.322332745
C1orf87,0.001797313,0.076711993
C1orf88,0.327879328,0.39937907
C1orf94,0.035821768,0.150358838
C1orf95,0.544105904,1.179973555
C1QA,5.576772632,7.344006349
C1QB,6.095816743,7.345389026
C1QC,5.360672468,6.743699727
C2CD4D,1.989299058,0.612995569
C4BPA,0.192748617,0.119633112
C4BPB,0.075805421,0.391813079
C8A,0.009131596,0.022124909
C8B,0.15879383,0.126346507
CA14,1.031130723,1.647246538
CA6,0.413735091,0
CACHD1,1.702367637,2.279399996
CACNA1E,0.688759964,0.449891763
CACNA1S,0.136415088,0
CACYBP,3.949117851,3.228413578
CADM3,2.320604658,2.893497546
CALML6,0.190651399,0.404602265
CAMK1G,0.571404838,0.693932462
CAMK2N1,2.228166061,1.657679956
CAMSAP2,3.733445718,3.402767146
CAMTA1,1.380731832,1.157314885
CAP1,7.351192343,7.19845578
CAPN2,5.115478556,5.532853073
CAPN8,0.137051834,0.437416463
CAPN9,0.141325363,0.193508551
CAPZA1,6.978497978,6.409739414
CAPZB,6.1811029,5.883794355
CASP9,2.628777978,3.501438115
CASQ1,1.403314005,1.854742301
CASQ2,0.206734104,0.63289196
CASZ1,2.304547395,2.394150051
CATSPER4,0.011507248,0
CC2D1B,3.719776497,3.43580029
CCBL2,4.457189013,3.840556445
CCDC17,1.863581665,0.959324878
CCDC18,3.319812719,2.885108506
CCDC19,0.558963149,0.92376485
CCDC23,2.709474079,2.776779524
CCDC24,0.965520287,1.105660532
CCDC27,0.032771727,0
CCDC28B,3.221706268,2.944393197
CCDC30,0.704906113,0.427227343
CCNL2,4.922411295,4.555073841
CCSAP,3.331550695,3.0040533
CD101,2.145068299,1.602356859
CD160,2.2087633,2.187704891
CD164L2,0.058784185,1.187991816
CD1A,1.091806783,1.250697462
CD1B,2.665612867,3.769072558
CD1C,2.893549287,3.449289925
CD1D,1.12127541,0.78050665
CD1E,2.835044917,3.065137185
CD2,6.729020784,4.868560651
CD244,3.579464494,1.749491588
CD247,4.341882442,4.479604045
CD34,2.898334926,4.084426917
CD46,5.757313103,5.602833302
CD48,6.419875902,5.473830443
CD52,7.153649858,7.302411837
CD53,7.138498973,6.910713403
CD55,3.553096122,4.950299471
CD5L,0.400851323,0.223076026
CD84,6.010460403,5.577538377
CDA,0.678166806,0.256699416
CDC14A,3.286650984,1.938962449
CDC20,4.398090422,3.394282121
CDC42,6.233189585,5.940642658
CDC42BPA,2.24801972,2.74651794
CDC42SE1,6.116730902,5.9701127
CDC7,3.228358721,2.728061726
CDC73,3.910976701,3.791406471
CDCA8,3.667749541,3.03763976
CDCP2,0.087751912,0.185918208
CDK11A,4.63803321,3.550890264
CDK11B,4.86973355,4.261883402
CDK18,2.121715151,2.006175484
CDKN2C,2.657406238,3.008452553
CELA2A,0,0.073165439
CELA2B,0.610223182,0.731314648
CELA3A,0,0
CELA3B,0,0.148425566
CELF3,0.431250693,0.46867494
CELSR2,1.726140211,2.668914142
CENPF,4.773527525,4.746624778
CENPL,2.667271289,2.978365097
CEP104,3.12697304,2.867204638
CEP170,4.698712892,4.03110921
CEP350,4.638460842,4.264123525
CEP85,3.562203701,2.849501721
CEPT1,4.810084332,4.098989041
CERS2,4.967598048,4.874278684
CFH,4.54196253,5.946216122
CFHR1,2.457268153,3.771420255
CFHR2,0,0.053051623
CFHR3,0.404123735,0.507817398
CFHR4,0.102983903,0.127466735
CFHR5,0.038584849,0.481798738
CGN,0.79384401,1.787301405
CHD1L,4.345057657,3.810946303
CHD5,0.092428119,0.155291339
CHI3L1,6.823869346,7.294993406
CHI3L2,6.500332668,4.31245251
CHIA,0.027986482,0.44819714
CHIT1,6.940480279,6.201653905
CHML,2.374866825,2.539978609
CHRM3,0.39720364,1.646591764
CHRNB2,1.38069489,1.317975693
CHTOP,4.703615516,4.229927158
CITED4,0.625047569,1.878691409
CLCA1,0.242175059,0.594093607
CLCA2,2.275299387,4.782256933
CLCC1,3.733165598,3.468893844
CLCN6,2.800023155,2.585549376
CLCNKA,0.166235527,0
CLCNKB,0.139581297,0.078104016
CLDN19,0,0
CLIC4,4.713517429,5.201775731
CLK2,4.567751128,4.385232393
CLSPN,2.986087322,2.692407189
CLSTN1,4.699743487,4.55389022
CMPK1,5.45736678,5.111615886
CNIH3,1.269351242,2.479336784
CNIH4,5.14347338,6.374333293
CNN3,4.247871288,5.037525768
CNR2,1.33964622,2.355279619
CNST,3.910938638,3.565318904
CNTN2,0.27085083,0.07000542
COG2,3.619424318,3.533596725
COL11A1,0.155528988,0.632010845
COL16A1,2.659307117,3.891815477
COL24A1,0.608242477,1.145730221
COL8A2,2.984504285,3.3255483
COL9A2,1.159330826,2.745999038
COPA,5.473593451,5.604849027
CORT,0.704032705,0.509101565
COX20,4.876924986,4.380015507
CPSF3L,4.612297878,4.361438569
CPT2,3.132475238,3.162799705
CR1,3.985739375,3.770014826
CR1L,1.818243622,2.275345499
CR2,0.903645458,0.961261979
CRABP2,3.040966454,5.393316095
CRB1,0.276346349,0.346917207
CRCT1,1.839392623,4.035669387
CREB3L4,2.191669241,2.352405095
CREG1,5.544908545,6.198402405
CRNN,0.181487734,0
CROCC,1.65572486,1.876624807
CRP,0.252185768,0
CRTC2,3.524701608,3.400429832
CRYZ,3.399744236,3.097011541
CSDE1,7.098261703,6.905712266
CSF1,3.545813822,3.895942511
CSF3R,2.65147512,2.582201506
CSMD2,0.455881879,0.433711362
CSRP1,4.824153086,5.434872596
CTBS,3.998724433,3.682817951
CTH,0.468898964,0.521781196
CTNNBIP1,2.644396472,3.956025791
CTPS1,4.656153678,4.048480731
CTRC,0,0.271145994
CTSE,0.466720662,0.819910978
CTSK,6.859645529,7.729359039
CTSS,6.752720571,7.801332987
CTTNBP2NL,3.247734612,3.303685293
CYB561D1,3.52462764,2.616741762
CYB5R1,3.820410248,4.978621119
CYB5RL,1.48648482,1.684559059
CYP2J2,0.126960019,0
CYP4A11,0.289734261,0
CYP4A22,0.18185453,0.329313333
CYP4B1,0.173055762,0.879914423
CYP4X1,0.451991749,1.06475892
CYP4Z1,0.228085391,1.001744882
CYR61,3.327012179,4.570606413
DAB1,0.143434115,0.121602165
DAP3,5.197709204,5.209808203
DARC,2.770520272,3.639692538
DARS2,3.784553372,3.352542876
DBT,2.49763815,2.285552584
DCAF6,4.363592014,4.240153938
DCDC2B,2.673248337,2.481446974
DCLRE1B,2.651577664,3.101631866
DCST1,0.318136474,0.44815953
DCST2,0.496311705,0.531578513
DDAH1,1.760121867,1.833311849
DDI2,4.541694251,4.562348012
DDOST,5.921777685,6.457939139
DDR2,3.485745702,4.430643472
DDX20,3.037124658,2.850119883
DDX59,3.689413019,3.386847906
DEDD,4.130180906,3.565760466
DEGS1,4.968214449,5.40310225
DEM1,2.765084626,2.643789334
DENND1B,2.704635104,2.970502963
DENND2C,1.099225499,2.165414339
DENND2D,7.050132552,5.229324421
DENND4B,4.534553864,3.730585611
DEPDC1,2.427412009,1.816416169
DESI2,4.072931895,4.118407304
DFFA,3.245225236,3.012147205
DFFB,2.075824335,1.876212407
DHCR24,4.687704844,4.351703871
DHDDS,3.905455592,3.538674214
DHRS3,2.873711249,2.886609179
DHX9,5.6754686,5.402861045
DIEXF,2.602574825,2.503451679
DIO1,1.437088723,0.782582403
DIRAS3,0.437109868,0.745490135
DISC1,2.14777873,2.07657781
DISP1,1.276664729,1.295211372
DLGAP3,0.316315599,0
DMAP1,3.533004292,3.08397485
DMBX1,0.18094098,0.176160779
DMRTA2,0.016548677,0.165481552
DMRTB1,0.093832923,0.135055979
DNAH14,0.470098555,1.268668271
DNAJB4,2.580050993,2.610862218
DNAJC11,4.11457664,3.735008448
DNAJC16,3.442167235,3.07883758
DNAJC6,0.947191982,0.94070712
DNAJC8,4.768653941,4.796280211
DNALI1,1.037990754,1.200825038
DNASE2B,1.268949925,0.964270999
DNM3,1.183230251,3.193513128
DNTTIP2,4.461672454,4.671791704
DOCK7,3.088002673,3.784536018
DPH2,3.489643948,3.306307958
DPH5,3.740331026,2.54165475
DPM3,3.037967315,4.085245391
DPT,5.047099929,6.22178422
DPYD,4.720900158,5.030343456
DR1,5.062389553,4.70306897
DRAM2,4.782982389,4.225862378
DRAXIN,0.194458991,0.148592093
DSTYK,2.706283521,3.020340796
DTL,3.343553405,2.640356882
DUSP10,4.121521397,3.835711125
DUSP12,3.497764694,2.856113866
DUSP23,3.304006499,4.193948687
DUSP27,0.09936799,0.245770623
DVL1,3.19198946,3.569833782
DYRK3,1.907926326,2.034034772
E2F2,2.967518431,3.191393059
EBNA1BP2,3.848744324,3.722121424
ECE1,3.989691033,4.596502488
ECHDC2,3.526635738,2.831738686
ECM1,3.353124286,4.617512228
EDARADD,3.341331848,3.504612803
EDEM3,4.192418818,3.73680667
EDN2,0.111683346,1.487094434
EFCAB7,2.168121323,2.167971582
EFHD2,5.316690683,6.006552935
EFNA1,1.741713556,3.079094429
EFNA3,0.891623806,2.449081635
EFNA4,2.165693828,2.192901625
EGLN1,2.986330129,3.503579758
EIF2B3,3.824307209,3.382662239
EIF2C1,4.268050349,3.829825369
EIF2C3,4.058540127,3.73063425
EIF2C4,3.673895095,3.70113197
EIF2D,4.308585255,4.197666822
EIF3I,6.00895517,6.272692615
EIF4G3,4.565299408,3.804922465
ELAVL4,0.176098857,0.427209752
ELF3,0.395434891,2.20916243
ELK4,5.417875722,4.550957773
ELOVL1,4.763665159,5.239240664
ELTD1,2.32580213,3.000100025
EMC1,4.052652748,3.922385007
ENAH,2.047988247,2.981291316
ENO1,7.832028509,8.163305529
ENSA,4.786076762,4.653565462
EPB41,5.476540775,4.58989786
EPHA10,0.268630206,0.395415397
EPHA2,1.767875476,3.521915724
EPHA8,0.033747879,0.049020975
EPHB2,1.348887228,2.426462856
EPHX1,3.734362055,4.169458224
EPHX4,0.288039206,0
EPRS,5.086599194,5.403962281
EPS15,5.2513616,5.463229636
EPS8L3,0.077080834,0.158145197
ERI3,3.908080384,3.627380619
ERMAP,2.487568447,2.416441215
ERO1LB,2.592155317,2.366869493
ERRFI1,1.762932369,3.417866043
ESPN,0.788321659,0.795865405
ESRRG,0.167567368,0
ETNK2,0.854337716,0.827407764
ETV3,3.046474324,2.61665062
ETV3L,0.473804022,0.633936792
EVI5,2.915307178,3.333041123
EXO1,2.693010985,2.694962829
EXOC8,3.575064467,3.707857613
EXOSC10,4.691572834,4.715383065
EXTL1,0.162740328,0.256619007
EXTL2,2.359556514,1.552196307
EYA3,3.935010135,3.666539065
F11R,3.806231921,4.769135095
F13B,0.030535943,0.00479918
F3,2.60801457,3.847461393
F5,2.849959616,3.263535407
FAAH,1.371603377,1.781032271
FABP3,3.890515206,4.330036867
FAF1,4.549700342,4.492277771
FAIM3,3.181847639,2.544436691
FAM102B,4.506357841,4.183866948
FAM110D,0.664796475,1.495224352
FAM129A,5.038016606,5.289441536
FAM131C,0,0.525263316
FAM132A,0.377876625,0.618529596
FAM151A,0.872924881,1.328487345
FAM159A,0.730605303,0.415485246
FAM163A,0.150789947,0.031821433
FAM167B,1.188700744,1.564420389
FAM176B,1.941161559,2.945176005
FAM177B,0.654966624,0.890248802
FAM183A,0,0.782333836
FAM189B,2.153206413,1.967827708
FAM19A3,0.556748573,0.246111696
FAM20B,4.370581668,4.302536341
FAM212B,1.615075433,1.659392718
FAM213B,2.643077556,3.416213165
FAM40A,4.304816216,3.737791859
FAM43B,0.103769589,0.195610297
FAM46B,0.72124018,4.056497408
FAM46C,3.513808635,3.745124685
FAM54B,4.027945469,3.669691346
FAM58BP,0.333082218,0
FAM5B,0.012293417,0.559063126
FAM5C,0.123046465,0.721125416
FAM63A,1.997478385,2.61009851
FAM69A,2.83078027,3.171154588
FAM71A,0.077306023,0
FAM72A,4.067768804,2.986056849
FAM72B,3.731138749,2.669816254
FAM72D,3.650341082,2.928329336
FAM73A,2.817473831,2.637695896
FAM76A,2.7917459,2.422427656
FAM78B,2.85232936,2.134819352
FAM89A,2.313883653,2.847595727
FASLG,1.626733256,2.923340991
FBLIM1,1.427739072,3.014897758
FBXO2,0.10729517,1.271693283
FBXO28,3.658639705,3.238734792
FBXO42,3.659791183,3.578175241
FBXO44,1.917171982,2.192258378
FBXO6,3.267890539,3.192958542
FCAMR,0.083008758,0.181912662
FCER1A,2.248234001,2.840331982
FCER1G,6.05356544,6.666321913
FCGR1A,3.240511029,4.661700828
FCGR2A,4.443790906,5.598009453
FCGR2B,4.747287655,5.860238267
FCGR2C,4.366559762,5.84900373
FCGR3A,3.744359839,5.318157731
FCGR3B,1.486536728,3.262176411
FCN3,0.588529846,0
FCRL1,1.766858912,1.214861236
FCRL2,0.965888405,0.866960701
FCRL3,4.596624655,5.225594592
FCRL4,0.236156113,0.500922992
FCRL5,2.042680379,1.179362507
FCRL6,3.462954818,1.324277477
FCRLA,1.156640567,1.162965951
FCRLB,0.415375751,0.884178005
FDPS,5.300906595,5.054255551
FGGY,2.765351573,2.076560351
FGR,4.604936123,4.568871875
FH,4.597468911,4.672899034
FHAD1,0.78234692,1.22501426
FHL3,3.05302848,3.426959487
FLAD1,3.39435122,3.254253797
FLG,5.468712018,5.031007408
FLG2,4.991669786,3.288207825
FLVCR1,2.849821496,2.004417593
FMN2,0.04771549,0.179124434
FMO1,1.630847862,1.450645481
FMO2,0.483274942,0.610592544
FMO3,0.681862984,2.077299711
FMO4,1.846976401,1.24194205
FMO5,1.938049713,2.214727242
FMOD,3.541100378,4.727654971
FNBP1L,1.675651627,2.784197347
FNDC5,1.25079669,0.43587794
FNDC7,0.167747092,0.628185688
FOXD2,0.810794628,0.280750295
FOXD3,0,0.062086444
FOXE3,0.232435563,0
FOXJ3,4.156430965,3.650201039
FPGT,2.65741321,2.583936639
FPGT-TNNI3K,1.017313466,1.521069496
FRRS1,2.454550869,1.870816119
FUBP1,5.623793836,5.009555588
FUCA1,5.358517174,5.110065218
G0S2,3.310772084,4.500120937
GABPB2,3.765301458,2.889258096
GABRD,0.093641296,0
GADD45A,3.414867031,3.384925029
GALE,2.26024997,2.728564801
GALNT2,3.569238303,3.855426754
GATAD2B,4.269920565,3.612566786
GBA,4.543313791,4.567451904
GBP1,6.584128906,6.664320002
GBP2,6.361927264,7.087930314
GBP3,4.53475395,4.068205031
GBP4,5.018297133,4.975287429
GBP5,4.651189367,5.087700974
GBP6,0.139676752,0.977836684
GBP7,0.565070602,0.614523574
GCLM,2.688383979,2.786859973
GCSAML,0.371946187,0.653180589
GDAP2,3.442328279,3.100738102
GFI1,2.187147882,1.580023182
GGPS1,2.836126246,2.437057999
GIPC2,0.402515112,0.995927754
GJA4,2.073449713,2.674726636
GJA5,0.897887286,1.637081235
GJA8,0.129449356,0.753126546
GJA9,1.866266722,1.990503345
GJB3,1.15612899,3.38461005
GJB4,0.995753881,0.682569099
GJB5,0.712576591,2.729895976
GJC2,0.647197967,0
GLIS1,0.064114701,0.341142012
GLMN,3.194719874,2.557726869
GLRX2,2.438730289,3.262576908
GLT25D2,1.213884785,1.123902884
GLTPD1,2.212670879,2.30900836
GLUL,6.190210865,6.858124169
GMEB1,3.48106681,3.081738563
GNAI3,5.084517773,5.052978102
GNAT2,1.989455134,1.54414115
GNB1,6.791649891,6.673218836
GNG12,3.576173974,4.76656666
GNG4,0.326224489,1.708950046
GNG5,5.063231636,5.216102526
GNL2,4.605752383,4.375986842
GNPAT,4.430627847,4.306582397
GOLPH3L,3.262328582,3.020695868
GOLT1A,0.029646911,0
GON4L,4.660176111,4.244395475
GORAB,2.422427389,1.881718464
GPA33,0.324532438,1.299965495
GPATCH2,3.935141961,3.937060718
GPATCH3,2.544691603,2.798333381
GPATCH4,3.802916955,3.353269196
GPBP1L1,5.342438995,5.248467465
GPN2,3.787021281,3.645117579
GPR137B,4.217309369,4.534307493
GPR153,2.963933851,3.429980516
GPR157,1.986530143,2.733145388
GPR161,1.137967579,1.237677778
GPR25,1.807970787,0
GPR3,0.360828618,0.235839358
GPR37L1,0.027319079,0.354347003
GPR52,4.302031856,2.600187907
GPR61,0.193208559,0.728037768
GPR88,0.049409005,0
GPR89A,4.479682913,4.293363926
GPR89B,4.392585255,4.195527683
GPR89C,4.357517552,4.285209731
GPSM2,3.134644237,3.918068913
GPX7,2.725848547,2.218258581
GREM2,0.360048771,0.488828531
GRHL3,0.908663085,2.862371523
GRIK3,0.064674176,0.337988837
GSTM1,5.116390702,5.701101699
GSTM2,2.957875295,2.74582613
GSTM3,1.173659283,2.210343049
GSTM5,2.4174642,3.39964405
GTF2B,4.480993775,4.523529485
GUCA2A,0,0
GUCA2B,0,0
GUK1,5.295116604,5.964327495
H3F3A,7.086356793,6.987628514
H6PD,4.355802647,4.602122016
HAO2,0.757508021,0.694720024
HAPLN2,0,0
HAX1,4.701942297,4.645427378
HBXIP,5.422709662,5.529875451
HCRTR1,0.690012995,0.244590224
HDAC1,5.8618347,5.528003919
HDGF,5.511079431,5.643827251
HEATR1,4.713616608,4.313575372
HECTD3,3.6339942,3.863018761
HENMT1,3.378622827,2.943816898
HES2,1.32566792,1.585831694
HES3,0,0
HES4,0.558763942,1.175451905
HES5,0.135019101,1.002069176
HEYL,0.905459249,1.672302345
HFE2,0.366666619,0.187646608
HFM1,0.153396196,0.260638559
HHAT,2.22054925,1.19555328
HHIPL2,0.037157042,0.0539444
HIAT1,4.688572472,4.869818104
HIPK1,5.361769239,4.825093176
HIST2H2AA3,9.599079129,9.911864106
HIST2H2AA4,9.599079129,9.911864106
HIST2H2AB,6.285794858,6.641313897
HIST2H2AC,7.894229352,8.027640586
HIST2H2BE,5.81859969,5.574265599
HIST2H2BF,5.289281581,5.351364421
HIST2H3A,8.570568622,8.851115193
HIST2H3C,8.570568622,8.851115193
HIST2H3D,7.089442975,7.468552821
HIST2H4A,9.316802666,9.284473824
HIST2H4B,9.316802666,9.284473824
HIST3H2A,4.86408151,4.199474012
HIST3H2BB,6.711523843,6.757699692
HIST3H3,0.999853841,1.266686366
HIVEP3,3.196779325,2.661996442
HLX,1.664981191,2.073798561
HMCN1,3.224251085,4.528216189
HMGCL,3.994584028,3.931209058
HMGCS2,0.561235666,0
HMGN2,6.90459565,6.286016579
HNRNPCL1,0.351055958,0.255855946
HNRNPR,5.973279799,5.621018117
HNRNPU,6.502043217,5.956988598
HOOK1,0.639797597,2.122609818
HORMAD1,1.59483091,0.61074518
HP1BP3,5.948797609,5.467502003
HPCA,0.159345709,0.654581643
HPCAL4,1.807691058,0.611139635
HPDL,0.97770029,1.652185966
HRNR,1.842992915,1.724687866
HS2ST1,3.514232882,3.294042063
HSD11B1,3.59930033,5.095695662
HSD17B7,2.983087216,2.896571565
HSD3B1,0.266767833,0.40748696
HSD3B2,0.22844205,0
HSPA6,1.879741925,3.253674708
HSPB11,4.567625677,4.314800036
HSPB7,0.334945057,0.776167195
HSPG2,5.17022369,5.610768765
HTR1D,0.094809609,0.548821815
HTR6,0.973817859,0.462081133
HYI,3.142345209,3.063921813
IARS2,5.105840452,5.224883536
IBA57,2.165481123,2.072655365
ICMT,4.363933919,4.579001851
ID3,2.803816906,4.046113653
IER5,4.476096562,4.195396636
IFFO2,4.631921253,5.628277438
IFI16,6.830487423,6.602003835
IFI44,4.033198113,4.4109401
IFI44L,3.498227335,2.976097809
IFI6,5.276722062,5.705040878
IGFN1,0.193448134,0.304193414
IGSF21,0.092272736,0.281796841
IGSF3,1.445923059,3.17666248
IGSF8,3.219603336,3.069068882
IGSF9,0.287126402,0.483212725
IKBKE,4.890468205,4.299052436
IL10,2.552237558,3.245151036
IL12RB2,4.000541749,2.034517421
IL19,0.573209953,0.926525934
IL20,0.293691342,0.984482893
IL22RA1,0.740046928,1.948342661
IL23R,5.085315921,0.497853488
IL24,2.335682388,2.197671149
IL28RA,2.175397738,1.95917685
IL6R,5.333210659,4.791238836
ILDR2,0.23095053,0.578112843
ILF2,6.196085103,5.834380463
INADL,1.904782705,2.953840578
INPP5B,3.741444563,3.543882294
INSL5,0,0.508872558
INSRR,0.167458851,0.289791476
